,sentences
32,"Usually each ISP operates one AS, though some ISPs may operate multiple ASes for business reasons ( to provide more autonomy to administrators of an ISP’s backbones in the United States and Europe) or historical reasons ( a recent merger of two ISPs)."
33,Non-ISP businesses (enterprises) may also operate their own ASes so as to gain the additional routing flexibility that arises from participating in the BGP protocol.
34,"Compared to enterprise networks, ISPs usually have more complex policies arising from the fact that they often have several downstream customers, connect to certain customers in multiple geographic locations, have complex traffic engineering goals, and run BGP on internal routers (rather than just border    routers as enterprises often do)."
35,"Although some of the observations we make apply to enterprise networks, our core focus in this paper is on ISP networks."
36,"In this section, we describe BGP from the standpoint of a single AS, describing first the protocol that transmits routes from one AS to another, then the decision process used to choose routes, and finally the mechanisms used at routers to implement policy."
37,2.1 Exchanging routing state.
38,Figure 1 shows a simple BGP network.
39,BGP sessions are established between border routers that reside at the edges of an AS and border routers in neighboring ASes.
40,These sessions are used to exchange routes between neighboring ASes.
41,Border routers then distribute routes learned on these sessions to nonborder (internal) routers as well as other border routers in the same AS using internal-BGP (iBGP).
42,"In addition, the routers in an AS usually run an Interior Gateway Protocol (IGP) to learn the internal network topology and compute paths from one router to another."
43,Each router combines the BGP and IGP information to construct a forwarding table that maps each destination prefix to one or more outgoing links along shortest paths through the network to the chosen border router.
44,BGP is a relatively simple protocol with a few salient features.
45,"First, BGP is an incremental protocol, where after a complete routing table is exchanged between neighbors, only changes to that information are exchanged."
46,"These changes may be new route advertisements, route withdrawals, or changes to route attributes."
47,"Second, BGP is a path-vector protocol where advertisements contain a list of ASes used to reach the destination."
48,"Third, routes are advertised at the prefix level, so an AS would send a separate update for each of its reachable prefixes."
49,"Fourth, BGP update messages may contain several fields, including a list of prefixes being advertised, a list of prefixes being withdrawn, and a list of route attributes that describe various characteristics of each advertised route."
50,"An ISP implements its policies by modifying route attributes and changing the way routers react to advertisements with certain route attributes, as discussed below."
51,2.2 Selecting a route at a router.
52,A BGP router in an ISP may have several alternate routes to reach a particular destination.
53,"In the absence of policy, the router would choose the route with the minimum pathlength, with some arbitrary way to break ties between routes with the same pathlength."
54,"However, in order to give operators greater control over route selection, several additional attributes were added to advertisements, allowing a router to alter its decisions based on the values of these attributes."
55,"The end result is the BGP decision process, consisting of an ordered list of attributes across which routes are compared, as shown in Table 1."
56,"The router goes down the list, comparing each attribute in the list across the two routes."
57,"If the routes have different values for the attribute, the router chooses the one that has the more desirable attribute, otherwise it moves on to compare the next attribute in the list."
58,The route that is chosen is used by the router to forward packets.
59,The ordering of attributes allows the operator to influence various stages of the decision process.
60,"For example, the Local Preference (LocalPref) is the first step in the decision process."
61,"By changing LocalPref, an operator can force a route with a longer AS path to be chosen over a shorter one."
62,"As another example, the Multi-Exit Discriminator (MED) is typically used by two ASes connected by multiple links to indicate which peering link should be used to reach the AS advertising the attribute."
63,"MED was placed lower in the decision process as this allows an ISP to override these suggestions,  by setting LocalPref."
64,Using a strict ordering of attributes in the decision process simplifies policy expression and makes it easier to predict the outcome of making configuration changes.
65,"While some vendors allow operators to disable certain steps in the decision process, they typically do not permit the operators to put the steps in a different order."
66,"Hence some policies that violate this ordering ( ignore AS path length, or first choose lowest MED then highest LocalPref) may require various hacks which can complicate router configuration and lead to unforeseen side effects."
67,"There are different locations where a route attribute can be set by policy: (a) Locally, for example LocalPref is an integer value set at and propagated throughout the local AS and filtered before sending to neighboring ISPs."
68,"(b) Neighbor, for example the MED attribute is typically used by two ASes connected by multiple links to indicate which peering link should be used to reach the AS advertising the MED attribute, and is not used to compare routes through two different next-hop ASes."
69,"(c) Neither: some attributes, for example whether the route was learned through an external BGP (eBGP) neighbor or from an internal router speaking BGP (iBGP), are set by the protocol and cannot be changed."
70,"The collective results of the decision process across routers is to produce a set of equally good border routers for each prefix, where each router in the set is equivalent according to the    first four steps of the decision process that compare BGP attributes."
71,Each internal router then chooses the router in that set that is closest according to the Interior Gateway Protocol (IGP) path cost to reach that border router.
72,"For example in Figure 1, suppose prefix 6.0.1.0/24 is reachable to B via both A and C, but B’s LocalPref is set higher for routes through A. The set of equally good border routers would then contain R1 and R2, and each router in B would select the route that was closest exit point (lowest IGP cost): ra and R1 would choose the route through R1, and all other routers would choose the route through R2."
73,There are three steps a router uses to process route advertisements.
74,"First import policy is applied to determine which routes should be filtered and hence eliminated from consideration, and may append or modify attributes."
75,"Next, the router applies the decision process to select the most desirable route."
76,"Finally, an export policy is applied which determines which neighbors the chosen route will be exported to."
77,"An ISP may implement its policy by controlling any of these three steps, i.e., by modifying import policy to filter routes it doesn’t want to use, modifying route attributes to prefer some routes over others, or by modifying export policy to avoid providing routes for certain neighbors to use."
78,"In addition, an ISP can modify attributes of routes it advertises, which can influence how its neighbors perform route selection."
79,2.3 Configuring local policies.
80,There are three classes of “knobs” that can be used to control import and export policies:  1.
81,Preference influences which BGP route will be chosen for each destination prefix.
82,Changing preference is done by adding/deleting/modifying route attributes in BGP advertisements.
83,"Table 1 shows which attributes can be modified during import to control preference locally, and which can be modified during export to change how much a neighbor prefers the route."
84,2.
85,Filtering eliminates certain routes from consideration and also controls who they will be exported to.
86,Filtering may be applied both before preference (inbound filtering) or after preference (outbound filtering).
87,Filtering is done by instructing routers to ignore advertisements with attributes matching certain specified values or ranges.
88,3.
89,"Tagging allows an operator to associate additional state with a route, which can be used to coordinate decisions made by a group of routers in an AS, or to share context across AS boundaries."
90,"The key mechanism is the community attribute, a variable-length string used to tag routes."
91,"The community attribute is a highly expressive mechanism, lending itself to support a wide variety of complex policies that are difficult to express through other means."
92,"For example, one community value might affect how the receiving router sets LocalPref, while another might cause the route to be filtered at another router."
93,"However, its expressiveness gives potential for misconfiguration, which is exacerbated by the fact that community attributes usage is not standardized."
94,An ISP implements its policies by applying configuration commands at routers.
95,"These configurations typically consist of a set of lists of preference, filtering, and tagging rules, one list for each session the router has with a neighboring BGP-speaking router."
96,"Although the configuration language differs between vendors, a key primitive that is often provided is a route-map, a language construct used to modify route attributes and define conditions that determine which routes are exported to peers."
97,"It consists of two parts: a set of conditions indicating when the map is to be invoked ( the prefix is a specified value, or the AS path matches a specified regular expression), and the action to be taken if the advertisement matches the conditions ( modify a specified attribute, or filter the route)."
98,3 Business relationships.
99,ISPs often wish to control next hop selection so as to reflect agreements or relationships they have with their neighbors.
100,"Three common relationships ISPs have are: customer-provider, where one ISP pays another to forward its traffic, peer-peer, where two ISPs agree that connecting directly to each other (typically without exchanging payment) would mutually benefit both, perhaps because roughly equal amounts of traffic flow between their networks, and backup relationships, where two ISPs set up a link between them that is to be used only in the event that the primary routes become unavailable due to failure."
101,There are two key ways these relationships manifest themselves in policy:  Influencing the decision process (by assigning LocalPrefs): ISPs often prefer customer-learned routes over routes learned from peers and providers when both are available.
102,This is often done because sending traffic through customers generates revenue for the ISP while sending traffic through providers costs the ISP money and sending to peers can skew the balance of power in the peering relationship and thereby give incentive to the party receiving more traffic to tear down the relationship or start charging the other party.
103,"Often an ISP will achieve this by assigning a non-overlapping range of LocalPref values to each type of peering relationship; for example LocalPref values in the range 90-99 might be used for customers, 80-89 for peers, 70-79 for providers, and 60-69 for backup links."
104,"LocalPref can then be varied within each range to do traffic engineering without violating the constraints associated with the business relationship, as described in Section 4."
105,"As another example, a large ISP spanning both North America and Europe may wish to avoid forwarding traffic generated by its customers across an expensive transatlantic link."
106,"This can be done by configuring its European routers with a higher LocalPref for routes learned from European ISPs, and giving its North American routers a lower LocalPref for these routes."
107,"Controlling route export (by using the community attribute): Routes learned from providers or peers are usually not exported to other providers or peers, because there is no economic incentive for an ISP to forward traffic it receives from one provider or peer to another."
108,"This can be done by tagging advertisements with a community attribute signifying the business relationship of the session, and filtering routes with certain community attributes when exporting routes to peers."
109,"For example, suppose B wishes to not export routes learned from A    to C (Figure 1), perhaps because it does not get paid for transitting traffic from C to A. It can do this as follows."
110,"First, for every session routers R1 and R2 have with routers in A, B configures an import policy that appends the community attribute Xpeer to any route learned over these sessions, to indicate that the route was received from a peer—information which is ordinarily lost in BGP as the route propagates across the AS."
111,"After appending the community attribute, B exports the route onwards into its internal iBGP network."
112,"Second, B configures export policies at R4 that match on this community attribute to determine which routes get exported to C. In particular, every session between R4 and a router in C is configured with an export policy that filters any route with the community attribute Xpeer ."
113,4 Traffic engineering.
114,"While business relationships affect relative preferences for routes, there are often several routes available that are equally preferred."
115,"Moreover, ISPs often connect at multiple locations to reduce delay and improve reliability, increasing the number of available routes."
116,A secondary goal for many ISPs is to engineer their traffic by modifying preference within the same business class to meet or maximize certain performance criteria ( achieve desired quality and availability).
117,"An ISP can do this by modifying the import policies applied by its routers, each of which can have a different configuration."
118,"In this section we describe several common traffic engineering goals (a related topic, ensuring the selected routes are stable, is discussed in [4])."
119,"Outbound traffic control (by changing LocalPref and IGP costs): Operators can influence outbound traffic flow either by configuring import policies that affect which routes get in the set of equally-good border routers, or by modifying IGP link costs."
120,"One common goal is early-exit routing (also called hotpotato routing), where the ISP forwards traffic to its closest possible exit point, so as to reduce the number of links packets traverse and hence the resulting congestion in its internal network."
121,"Although early-exit routing is known to inflate end-to-end path lengths in the Internet, ISPs often exercise early-exit routing to reduce their costs and network congestion, and because BGP does not support alternatives like determining global shortest paths across multiple ISPs."
122,Another common goal is to reduce congestion on outbound links to neighbors.
123,This can be done by load balancing traffic over several links when possible.
124,Outbound traffic engineering can be done by changing LocalPref.
125,"For example, suppose B wishes to shift some traffic from its links to A to its link to C as shown in Figure 1, perhaps because the link to A is overutilized or because it is planning to take the link down for maintenance."
126,B can reduce the traffic it sends to A and increase traffic it sends to C by decreasing LocalPref for routes traversing A or increasing LocalPref for routes traversing C.  Achieving a specific level of load balance ( balancing load to make spare capacity on both links equal) can be very difficult.
127,"The key challenge is to select the proper set of prefixes and change attributes for each appropriately; selecting too large a set will cause too much traffic to shift, overloading one of the links."
128,It can also be tedious to express a long list of prefixes in a router configuration file.
129,"Some ISPs deal with this by changing preference for all prefixes whose AS path matches a regu lar expression, then tweaking the regular expression repeatedly to control how many prefixes match it."
130,"However, since this is done manually it is subject to misconfiguration, cannot be done in real time to adjust to changing load, and the outcome from a change can be difficult to predict."
131,There are automated tools that an ISP can use to predict the effects of these actions [5].
132,"Inbound traffic control (by AS prepending and MED): An ISP’s internal congestion may be exacerbated by its neighbors, because its neighbors might not be aware of the ISP’s trafficengineering goals, internal topology, or load on internal links due to privacy reasons."
133,"Hence, some mechanism to allow an ISP to control how much traffic it receives from each of its peering links is essential."
134,"Unfortunately, this is a highly challenging problem, as it requires the local ISP to influence route selection in remote ISPs, which in turn might wish to limit or completely ignore the local ISP’s goals."
135,"However, an ISP may convince its neighbor (perhaps through economic incentives) to allow the ISP to control how much traffic it receives on each link from the neighbor."
136,"This can be done by modifying the MED attribute, which can be used between a pair of ISPs connected via multiple peering links."
137,"For example, if B wanted to reduce the amount of traffic traversing router R1, it could increase the value of the MED attribute R1 advertises to A, causing the link to R2 to become more preferred by A’s routers and thereby decreasing R1’s load."
138,"Shifting traffic between links to different neighbors is more challenging, as unfortunately BGP was not designed with a mechanism to control route selection in ASes multiple hops away."
139,"However, a workaround commonly used is for an AS to prepend multiple copies of its AS number to the AS path in order to artificially inflate the AS-path length."
140,"For example, suppose B wishes to shift some traffic from its link to A to its link to C. B can do this by prepending additional copies of its AS number onto the AS paths in BGP advertisements it sends to A. This increases the AS-path length in these advertisements, which causes routes advertised by C to other ISPs to become more desirable in comparison."
141,"Remote control (by changing community attributes): In certain cases, an ISP may need to remotely manage a router’s configuration to implement a desired policy."
142,"For example in Figure 1, suppose B wishes to have all inbound traffic routed through A, and suppose C peers with A (not shown in the figure)."
143,"If C has a LocalPref to prefer the direct route to B, no change in MED or AS prepending will force C to use alternate routes through A to B. B could request C to manually change its router configurations, but this can be time consuming for human operators if B changes its policy often ( for traffic engineering purposes)."
144,"Instead, C can allow B to control C’s routing policy with respect to B’s routes by configuring its routers to map certain community attributes to certain LocalPref values [2]."
145,"If desired, C can limit the degree of B’s control to prevent certain policies of its own from being subverted."
146,"For example, C can configure its routers to map community value X1 to a LocalPref of 60, and X2 to a LocalPref of 75, allowing B to disable the route, but not allowing B to have it chosen over routes C wants to prefer more (by setting a higher LocalPref, like 85)."
147,Remote control has some overlapping functionality with other    mechanisms to control inbound and outbound traffic.
148,"In general, remote control is typically used to allow a customer to tell its provider to perform some action on its behalf."
149,"Remote control provides more flexibility than MED because it allows control of inputs to earlier steps of the decision process like LocalPref, as shown in the example above."
150,"Moreover, MED can only change the relative preference of routes, while remote control can be configured to filter routes, or perform AS prepending."
151,"Further, MED is only used for routes with the same next-hop AS, while LocalPref is compared across routes learned from all neighbors."
152,"However, as with MED, an ISP’s neighbors must agree in advance to accept community attributes from the other peer."
153,"Also, the highly expressive nature of community attributes introduces potential for misconfiguration."
154,"For example, two adjacent ISPs may use the same community attribute to mean very different things ( one might use it for accounting purposes to indicate a certain customer generated the route, while another might use it to indicate the route should be filtered)."
155,"If a misconfigured router allows the attribute to be passed between them without being removed, unintended consequences could ensue."
156,"ISPs typically address this by careful router configuration, and by publishing the list of communities and what actions they trigger for their customers."
157,"In addition, there are a variety of “smart routing” tools [6] that small ASes at the edge of the Internet can use to balance outbound traffic over multiple upstream providers."
158,"However, these tools generally are not appropriate for ISPs, as dynamically changing traffic can lead to BGP routing changes that are visible to other ASes, which can trigger flap damping (a mechanism that withdraws unstable routes) if the routes become too unstable."
159,"Moreover, these tools focus on load balancing over multiple outgoing links but do not consider the effect on traffic flow inside the AS [5]."
160,5 Scalability.
161,Some misconfigurations and faults in neighboring ISPs can lead them to generate excessive rates of updates.
162,"Sending updates too frequently can trigger route instability, leading to poor service quality, or can overload a router’s processing capability or memory capacity, which can cause outages and router failure."
163,A properly configured set of BGP policies can improve the resilience of a network to these problems.
164,Common goals include:  Limiting routing table size (by filtering and using the community attribute): ISPs often want to limit routing table size because overflow can cause the router to crash [7].
165,This can be a particularly important issue for smaller ISPs which may have less expensive routers with less memory capacity.
166,1.
167,Protection from other ISPs: ISPs can protect themselves from excessive advertisements from neighbors by: (a) Filtering long prefixes ( longer than /24) to encourage use of aggregation [8].
168,"(b) As a safety check, routers often maintain a fixed per-session prefix limit that limits the number of prefixes a neighbor can advertise."
169,"(c) Default routing: an ISP with a small number of routes may not need the entire routing table, and may instead configure a default route through which most destinations can be reached."
170,2.
171,"Protecting other ISPs: An ISP can reduce the number of prefixes it advertises by using route aggregation, where instead of advertising two adjacent prefixes ( 4.1.2.0/24 and 4.1.3.0/24) to a neighbor, they can be filtered in the export policy and a less specific prefix ( 4.1.2.0/23) advertised [9]."
172,"However, doing this effectively may require knowledge of the neighbor’s connectivity (which is not discovered or signaled by the BGP protocol and hence must be manually detected and accounted for by human operators) as illustrated in the following example."
173,Suppose E (Figure 2) owns prefix 6.0.0.0/8.
174,"E has allocated the subnet 6.1.0.0/16 to router R5, and has allocated smaller subnets to its customers connected to R5, including a new customer D which is allocated subnet 6.1.1.0/24."
175,"When adding D as a new customer, E may need to make changes to its routers’ configuration, and the configuration it chooses impacts whether new advertisements are generated."
176,There are three cases:  1.
177,"No new advertisements: Suppose D’s sole provider is E, and D connects to just one router R5 in E. In this case, R5 is already advertising 6.1.0.0/16 within AS E, obviating the need for R5 to advertise more specific subnets like 6.1.1.0/24."
178,"Hence, E just adds a statically configured route at R5 to forward all traffic in 6.1.1.0/24 to D, and so no advertisements will be sent from E to its neighbors, nor will any new advertisements be sent internally within E."
179,2.
180,"Internal advertisement: Suppose instead D connects to two routers R5 and R6 in E. In this case, both R5 and R6 need to advertise the prefix 6.1.1.0/24 within E, so all routers within E know they can reach D via either R5 or R6."
181,"However, E can aggregate the advertisement into its address space and hence E will not send BGP advertisements for 6.1.0.0/24 to its neighbors."
182,"This is done by configuring R5 and R6 to tag a community attribute onto advertisements of prefix 6.1.1.0/24, and configuring all border routers to filter routes with that community attribute."
183,3.
184,"External and internal advertisement: Suppose D connects to both E and F. In this case E should not aggregate the prefix into its own address space; if it did, then F would then be advertising a longer prefix route to reach D, and since routers forward packets based on the longest prefix match, all routers in the Internet will prefer F’s route    over E’s route."
185,"If D wishes traffic to flow over both links, it must request that E not perform aggregation on its prefix."
186,"E can avoid aggregating the prefix by configuring its routers peering with D to append a certain community attribute, and configure its border routers to export routes containing that community attribute."
187,"Limit the number of routing changes (by suppressing routes that flap): Routing instability is undesirable, as it can increase CPU load on routers, which can increase reaction time to important events."
188,"Also, frequent shifting of traffic to different paths can introduce jitter and packet loss in applications like Voice-over-IP and interfere with TCP’s round-trip-time calculations."
189,The key mechanism used to improve routing stability is flap damping.
190,Flap damping is a mechanism that limits propagation of unstable routes.
191,It works by maintaining a penalty value associated with the route that is incremented whenever an update is received.
192,"When the penalty value surpasses a configurable threshold, the route is suppressed for some time, i.e., it is made unavailable to the decision process and hence will not be selected."
193,An ISP can lower the penalty threshold to improve route stability at the cost of worsening availability.
194,"ISPs may wish to less aggressively dampen or disable damping for certain prefixes, for example routes to the root Domain Name System servers, or routes from customers with high availability requirements."
195,"Also, ISPs sometimes more aggressively dampen longer prefixes than shorter prefixes, with the motivation that damping a shorter prefix can have a large effect on reachability [10]."
196,This can be done by configuring a route-map that matches on the prefix length or a specific prefix and sets the flap damping parameters accordingly.
197,6 Security.
198,An AS is highly vulnerable to false information in BGP updates.
199,"By sending false information, an ISP can subvert a neighbor’s routing goals, cause routers to overload and fail, or degrade service quality."
200,"False information can have a significant influence on routing in an AS, even if the source of the information is several AS hops away [11]."
201,Such information is sometimes generated by router bugs and misconfiguration.
202,"It could also be maliciously generated by an ISP’s neighbor, who may be competing for customers and hence has a vested interest in making the ISP’s customers dissatisfied with service."
203,Hence an ISP may wish to exercise defensive programming to protect itself against attacks.
204,Discarding invalid routes (by import filtering): ISPs may wish to protect their customers from learning invalid routes by performing sanity checks to ensure update contents are valid before propagating them internally.
205,"For example, routes to special-use or private addresses, or address blocks that have not yet been allocated are obviously invalid [12]."
206,"Moreover, advertisements from customers for prefixes they do not own should not be propagated."
207,ISPs can also perform certain sanity checks on the AS path; for example a Tier-1 ISP should not accept any routes from its customers that contain another Tier-1 ISP in the AS path.
208,"Also, advertisements containing private AS numbers in the AS path may be considered invalid."
209,"ISPs may configure its filters based on the contents of public repositories  of routing configurations called routing registries, other public reports [13], or private disclosures from neighbors."
210,"Protect integrity of routing policies (by rewriting attributes): An ISP may want to prevent a neighboring AS from having undue influence over its routing decisions, in violation of their peering agreement."
211,"Otherwise, the ISP could be duped into carrying traffic a longer distance across its backbone on the neighbor’s behalf."
212,"For example, suppose the ISP peers with a neighbor in both New York and San Francisco."
213,"By advertising a prefix with a MED of 0 in New York and a MED of 1 in San Francisco, the peer could trick the ISP into having all of its routers direct traffic for this destination through the New York peering point, even if the San Francisco peering point is closer."
214,The peer could achieve the same goal by configuring its San Francisco router to advertise the route with the nexthop attribute wrongly set to the IP address of the New York router.
215,"To defend against violations of peering agreements, the ISP can configure the import policy to delete attributes or overwrite them with the expected values."
216,"For example, the import policy could set all MED values to 0, unless the ISP has agreed in advance to honor the neighbor’s MEDs."
217,"Similarly, the import policy could set the next-hop attribute to the IP address of the remote end of the BGP session, and remove any unexpected community values."
218,"Unfortunately, these techniques are not sufficient to prevent all violations of peering agreements1."
219,Securing the network infrastructure (by export filtering): An ISP may wish to prevent external entities from accessing certain internal resources by configuring its export policies that filter BGP advertisements for destinations that should not be externally reachable.
220,"For example, the ISP may protect its own backbone infrastructure by filtering the IP addresses used to number the router interfaces."
221,"The ISP may also wish to protect certain key internal services, by filtering the addresses of the hosts running network-management software."
222,"Finally, as a courtesy to its neighbors, an ISP may also do export filtering of invalid routes ( routes with invalid addresses or contents), as a preventative measure."
223,Blocking denial-of-service attacks (by filtering and damping): Denial-of-service attacks can degrade service by overloading the routers with extra BGP update messages or consuming excessive amounts of link bandwidth.
224,"For example, the ISP’s routers could run out of memory if a neighbor sends route advertisements for a large number of destination prefixes."
225,"To protect itself, the ISP can configure each BGP session with a maximum acceptable number of prefixes, tearing down the session when the limit is exceeded; in addition, the import policy could filter prefixes with large mask lengths ( longer than /24)."
226,"As another example, a neighbor sending an excessive number of BGP update messages can easily deplete the CPU resources on the ISP’s routers."
227,"Upon detecting the excessive BGP updates, the operators could modify the import policy to discard advertisements for the offending prefixes or disable the BGP session."
228,"Upon identifying the neighbor or prefix responsible for the excessive BGP updates, the ISP can more aggressively dampen (Section 5) or even completely filter updates it receives from these sources."
229,"In addition to BGP’s own vulnerabilities to attack, an ISP (or its customers) may be subject to a denial-of-service attack where excessive data traffic is sent to victim hosts."
230,An ISP can block the offending traffic by installing a blackhole route that drops traffic destined to the victim addresses.
231,"Blackhole routes may be statically configured, or operators may run a special BGP session that advertises the prefixes of the victims [17]."
232,"Routers receiving prefixes on this session then assign the next-hop to be an address associated with the “null” route (a route which drops all traffic), or the address of a monitoring system that can perform further analysis of the traffic."
233,"Using a similar technique, the ISP can advertise the address blocks of known spammers to blackhole traffic sent to these addresses."
234,"These blackhole routes prevent the spammers from establishing bidirectional communication (i.e., a TCP connection, which depends on receiving a SYNACK packet) with the ISP’s mail servers."
235,7 Looking forward.
236,"BGP’s rich feature set of tunable knobs and complex cross-protocol interactions make it highly subject to a variety of problems, including misconfiguration, oscillations, and protocol divergence."
237,The challenge of supporting many different complex policies in BGP without significantly complicating the protocol or degrading its performance has led to much research activity.
238,Three key areas of research related to BGP policy are discussed below (a wider survey of research directions is given in [18]).
239,"Configuration checking: The complexity of Internet routing makes it difficult to predict the way policies interact, increasing the prevalence of configuration mistakes."
240,Interdependence of policy across ISPs and within a single ISP can trigger problems like persistent route oscillations.
241,"Configuration checking tools can avoid misconfigurations by verifying certain consistency criteria hold [19], and modeling tools can predict side-effects of configuration changes on routers within an ISP [5]."
242,"Across ISPs, uncoordinated routing policy can worsen route convergence and stability."
243,"The Routing Arbiter [13] project introduced a distributed architecture for publishing and coordinating routing policies so as to avoid these problems, but was not widely deployed."
244,Other work has attempted to coordinate route policy selection across ISPs without revealing private details of policies [20].
245,Language design: Routing Policy Specification Language (RPSL) [21] is a vendor-neutral language proposed to describe an ISP’s policy.
246,It was envisioned these descriptions could be bound together in a database and checked for consistency [13].
247,"RPSL, though mature, is somewhat low-level and mechanism oriented."
248,"It may be possible to substantially improve upon RPSL by designing router configuration languages with higher level constructs that allow diverse policies while precluding certain misconfigurations, enforcing certain consistency properties to hold, simplifying configuration of certain common design patterns [22], however the design of such a language remains an open problem."
249,New architectures: There are several routing architectures aimed at fixing problems in and extending functionality of BGP.
250,HLP [23] is a proposed replacement for eBGP.
251,"The design philosophy of HLP is to expose common policies that can typically be inferred in BGP today and optimize the routing protocol based on the resulting structure, with the aim to improve scalability and convergence of interdomain routes."
252,Routing Control Platform (RCP) [24] is a logically centralized system that computes and distributes routes to routers inside an ISP.
253,"The centralization allows policies to be applied at the AS level, and the RCP applies the policies and its own decision process to select the best BGP route for each destination prefix on behalf of each router."
254,This simplifies the configuration and application of policies and avoids misconfiguration.
255,8 Conclusion.
256,"Although BGP policies can be highly complex, there are a number of common design patterns that are typically used by ISPs."
257,In this article we discussed several common patterns and how they can be realized using BGP policy mechanisms.
258,"We believe that by recognizing these patterns exist we can more efficiently develop tools that directly support them, such as analysis tools that check correctness, languages that preclude errors, or architectures that are designed for common cases."
